condition_file,message_to_show,repN_wm,repN_single,repN_break,dimension,rot_type,angle,mirror,wm,pair_id,obj_id,orientation1,orientation2,image_path_1,image_path_2,marker_id,correctAns,block_loop_main.thisRepN,block_loop_main.thisTrialN,block_loop_main.thisN,block_loop_main.thisIndex,simu_trials_loop.thisRepN,simu_trials_loop.thisTrialN,simu_trials_loop.thisN,simu_trials_loop.thisIndex,wm_trials_loop.thisRepN,wm_trials_loop.thisTrialN,wm_trials_loop.thisN,wm_trials_loop.thisIndex,block_loop_3dd.thisRepN,block_loop_3dd.thisTrialN,block_loop_3dd.thisN,block_loop_3dd.thisIndex,first_3Dd_wm.thisRepN,first_3Dd_wm.thisTrialN,first_3Dd_wm.thisN,first_3Dd_wm.thisIndex,thisRow.t,notes,start.started,text_start.started,key_resp_start.started,start.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,instructions.started,key_resp_12.started,image_8.started,instructions.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,instructions_2.started,image_9.started,key_resp_20.started,instructions_2.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,instructions_3.started,image_10.started,key_resp_21.started,instructions_3.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.duration,before_block_instr.started,text_13.started,key_resp_7.started,before_block_instr.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_wm.started,text_4.started,img1.started,text_4.stopped,text_5.started,img1.stopped,text_5.stopped,img2.started,key_resp_3.started,routine_wm.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,vividness.started,image_vivid.started,key_resp_vivid_slider_control.started,vividness.stopped,vivid_response,key_resp_vivid_slider_control.keys,key_resp_vivid_slider_control.rt,key_resp_vivid_slider_control.duration,ITI.started,text_2.started,ITI.stopped,image_vivid.stopped,key_resp_vivid_slider_control.stopped,text_2.stopped,strat.started,image_strat.started,key_resp_strat_control.started,strat.stopped,strategy_response,key_resp_strat_control.keys,key_resp_strat_control.rt,key_resp_strat_control.duration,break_2.started,break_2.stopped,key_resp_13.keys,routine_simu.started,text.started,image.started,key_resp.started,text.stopped,image.stopped,key_resp.stopped,routine_simu.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_strat.stopped,key_resp_strat_control.stopped,text_17.started,key_resp_13.started,key_resp_13.rt,key_resp_13.duration,practice_3Dd_screen.started,image_11.started,key_resp_22.started,practice_3Dd_screen.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.duration,practice_1_3Dd.started,image_12.started,key_resp_23.started,practice_1_3Dd.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.duration,practice_2_3Dd.started,image_13.started,key_resp_24.started,practice_2_3Dd.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.duration,wm_3Dd_screen.started,text_16.started,key_resp_11.started,wm_3Dd_screen.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_3Dd_wm.started,text_8.started,image_6.started,text_8.stopped,image_6.stopped,text_12.started,image_7.started,key_resp_6.started,text_12.stopped,routine_3Dd_wm.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.duration,end.started,text_22.started,key_resp_18.started,end.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,60,True,True,16,obj4,60,0,output_pairs/3Dp_60_M_WM/3Dp_60_M_WM_16_1_obj_4_60deg.png,output_pairs/3Dp_60_M_WM/3Dp_60_M_WM_16_2_obj_4_0deg.png,296,period,0,0,0,0,,,,,0,6,6,6,,,,,,,,,156.14868489999208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0838439000072,156.14868489999208,157.10658300001523,157.17325680001522,161.07764730000054,161.11097890001838,162.07772520001163,162.07772520001163,162.07772520001163,164.74070170000778,comma,0,2.635884699993767,None,164.74091310001677,164.7729767000128,164.7729767000128,166.746212500002,2.0,['period'],[0.8845763000135776],[None],166.74636059999466,166.77776359999552,168.74464839999564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,60,False,True,13,obj1,180,120,output_pairs/3Dp_60_WM/3Dp_60_WM_13_1_obj_13_180deg.png,output_pairs/3Dp_60_WM/3Dp_60_WM_13_2_obj_13_120deg.png,409,comma,0,0,0,0,,,,,0,7,7,7,,,,,,,,,168.82961660000728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.74491149999085,168.82961660000728,169.7400134000054,169.83996979999938,173.7730841000157,173.73986299999524,174.77781640001922,174.74450530001195,174.74450530001195,178.7409134999907,comma,1,3.968478099995991,None,178.7413107000175,178.77325260001817,178.77325260001817,180.7461387999938,2.0,['period'],[0.7813152000016998],[None],180.74629000001005,180.77779230001033,182.77354860000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,0,False,True,22,obj9,340,340,output_pairs/3Dp_0_WM/3Dp_0_WM_22_1_obj_9_340deg.png,output_pairs/3Dp_0_WM/3Dp_0_WM_22_2_obj_9_340deg.png,97,comma,0,0,0,0,,,,,0,8,8,8,,,,,,,,,182.82703300000867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.77381590000005,182.82703300000867,183.77776530000847,183.84461140001076,187.77309659999446,187.8065784999926,188.7734957000066,188.74449850001838,188.74449850001838,190.47411979999742,comma,1,1.721718900022097,None,190.47433420000016,190.506495300011,190.506495300011,192.4772088000027,3.0,['slash'],[1.655705899989698],[None],192.4773797999951,192.5065859000024,194.47794959999737,192.5065859000024,192.5065859000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,120,False,True,15,obj1,260,20,output_pairs/3Dp_120_WM/3Dp_120_WM_15_1_obj_1_260deg.png,output_pairs/3Dp_120_WM/3Dp_120_WM_15_2_obj_1_20deg.png,336,comma,0,0,0,0,,,,,0,9,9,9,,,,,,,,,194.5596258000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.47813979999046,194.5596258000005,195.47799760001362,195.5839065000182,199.473427799996,199.50688800000353,200.47353630000725,200.47353630000725,200.47353630000725,205.1451936000085,comma,1,4.6401286000036635,None,205.14540140001918,205.1778678999981,205.1778678999981,207.17523990001064,2.0,['period'],[1.0399499000050128],[None],207.17539750001743,207.206554400007,209.1780384000158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,60,False,True,23,obj8,20,80,output_pairs/3Dp_60_WM/3Dp_60_WM_23_1_obj_8_20deg.png,output_pairs/3Dp_60_WM/3Dp_60_WM_23_2_obj_8_80deg.png,402,comma,0,0,0,0,,,,,0,10,10,10,,,,,,,,,209.23379050000221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.17822689999593,209.23379050000221,210.15099739999278,210.25065780000295,214.14460210001562,214.177886999998,215.144692700007,215.144692700007,215.144692700007,218.24105499999132,comma,1,3.0728641000168864,None,218.24126450001495,218.27351260001888,218.27351260001888,220.24634869999136,2.0,['period'],[0.8642335000040475],[None],220.24653140001465,220.27785820001736,222.27795340001467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,120,True,True,8,obj5,200,320,output_pairs/3Dp_120_M_WM/3Dp_120_M_WM_08_1_obj_5_200deg.png,output_pairs/3Dp_120_M_WM/3Dp_120_M_WM_08_2_obj_5_320deg.png,651,period,0,0,0,0,,,,,0,11,11,11,,,,,,,,,222.32839209999656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.27814670000225,222.32839209999656,223.25049840001157,223.35045080000418,227.27349970000796,227.27349970000796,228.27809659999912,228.2448418000131,228.2448418000131,231.30769919999875,period,1,3.0447222999937367,None,231.30790980000165,231.33994579999126,231.33994579999126,233.3131996000011,1.0,['comma'],[1.8289199999999255],[None],233.31336190001457,233.3402965000132,235.3074942000094,,,235.36581360001583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,60,True,True,32,sm5,100,160,output_pairs/3Dp_60_M_WM/3Dp_60_M_WM_32_1_sm_5_100deg.png,output_pairs/3Dp_60_M_WM/3Dp_60_M_WM_32_2_sm_5_160deg.png,314,period,0,0,0,0,,,,,0,12,12,12,,,,,,,,,235.36581360001583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.30767159999232,235.36581360001583,236.31118469999637,236.38384260001476,240.30703850000282,240.34470529999817,241.30699730000924,241.30699730000924,241.30699730000924,243.08497429999989,period,1,1.7512931999808643,None,243.08531080000103,243.10689749999437,243.10689749999437,245.07723270001588,1.0,['comma'],[0.7513755999971181],[None],245.0774156000116,245.1068333000003,247.08441480001784,245.1068333000003,245.1068333000003,247.1454241000174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,0,False,True,19,obj1,80,80,output_pairs/3Dp_0_WM/3Dp_0_WM_19_1_obj_14_80deg.png,output_pairs/3Dp_0_WM/3Dp_0_WM_19_2_obj_14_80deg.png,124,comma,0,0,0,0,,,,,0,13,13,13,,,,,,,,,247.1454241000174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.08457239999552,247.1454241000174,248.11134669999592,248.14040450000903,252.10704370000167,252.10704370000167,253.10711420001462,253.10711420001462,253.10711420001462,254.5744265000103,comma,1,1.446243400016101,None,254.574646699999,254.60675700000138,254.60675700000138,256.57701880001696,4.0,['rshift'],[1.8101234000059776],[None],256.5771722999925,256.6069628999976,258.57829770000535,256.6069628999976,256.6069628999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,0,True,True,31,obj8,100,100,output_pairs/3Dp_0_M_WM/3Dp_0_M_WM_31_1_obj_8_100deg.png,output_pairs/3Dp_0_M_WM/3Dp_0_M_WM_31_2_obj_8_100deg.png,524,period,0,0,0,0,,,,,0,14,14,14,,,,,,,,,258.635912800004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.57848500000546,258.635912800004,259.5838419999927,259.6509369999985,263.57813780001015,263.6114721999911,264.58419280001544,264.58419280001544,264.58419280001544,267.10785540001234,comma,0,2.498111799999606,None,267.10817620001035,267.1402742000064,267.1402742000064,269.11322830000427,3.0,['slash'],[0.9007043000019621],[None],269.1134173000173,269.1447879000043,271.1173783999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,180,True,True,1,obj7,320,140,output_pairs/3Dp_180_M_WM/3Dp_180_M_WM_01_1_obj_7_320deg.png,output_pairs/3Dp_180_M_WM/3Dp_180_M_WM_01_2_obj_7_140deg.png,63,period,0,0,0,0,,,,,0,15,15,15,,,,,,,,,271.1678091000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.1175668000069,271.1678091000067,272.14046759999474,272.17371780000394,276.14019380000536,276.14019380000536,277.1403000999999,277.1403000999999,277.1403000999999,280.0455782999925,comma,0,2.8937781999993604,None,280.0458561000123,280.07828300000983,280.07828300000983,282.0754241000104,2.0,['period'],[0.7959049999772105],[None],282.0755856000178,282.1067455000011,284.0738495000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
